district,date,centx,centy,ipc,area,pop,closest_district,date_future,conflict_count,fatalities,fatalities_per_pop,fatalities_per_area,fatalities_per_poparea,conflicts_per_pop,conflicts_per_area,conflicts_per_poparea
Yambio,2015-01-01,28.54729,5.124909,1.0,8896.165,204178.0,Yambio,2015-01-01,1,0.0,0.0,0.0,0.0,4.897687312051249e-06,0.00011240798703711092,0.04357063444641441
Yambio,2015-04-01,28.54729,5.124909,1.0,8896.165,204178.0,Yambio,2015-04-01,2,1.0,4.897687312051249e-06,0.00011240798703711092,0.04357063444641441,9.795374624102498e-06,0.00022481597407422184,0.08714126889282882
Yambio,2015-07-01,28.54729,5.124909,1.0,8896.165,204178.0,Yambio,2015-07-01,3,1.33,6.513924125028162e-06,0.00014950262275935754,0.05794894381373117,1.4693061936153747e-05,0.00033722396111133277,0.13071190333924324
Yambio,2015-10-01,28.54729,5.124909,1.0,8896.165,204178.0,Yambio,2015-10-01,2,0.5,2.4488436560256246e-06,5.620399351855546e-05,0.021785317223207205,9.795374624102498e-06,0.00022481597407422184,0.08714126889282882
Yambio,2016-02-01,28.54729,5.124909,1.0,8896.165,174854.0,Yambio,2016-02-01,14,3.14,1.79578391114873e-05,0.0003529610792965283,0.15975589977924443,8.00667985862491e-05,0.001573711818519553,0.7122874512450388
Yambio,2016-06-01,28.54729,5.124909,2.0,8896.165,174854.0,Yambio,2016-06-01,32,1.69,9.665206400768641e-06,0.00018996949809271745,0.08598327090029396,0.00018300982533999793,0.0035970555851875495,1.6280856028458028
Yambio,2016-10-01,28.54729,5.124909,2.0,8896.165,174854.0,Yambio,2016-10-01,4,0.75,4.289292781406202e-06,8.430599027783319e-05,0.0381582563166985,2.287622816749974e-05,0.0004496319481484437,0.20351070035572535
Yambio,2017-02-01,28.54729,5.124909,2.0,8896.165,145529.0,Yambio,2017-02-01,11,1.27,8.726782977963155e-06,0.00014275814353713088,0.0776349012911516,7.558630925794859e-05,0.0012364878574082203,0.6724282788997382
Yambio,2017-06-01,28.54729,5.124909,3.0,8896.165,145529.0,Yambio,2017-06-01,22,1.95,1.339939118663634e-05,0.0002191955747223663,0.11920319489586269,0.00015117261851589717,0.0024729757148164405,1.3448565577994764
Yambio,2017-10-01,28.54729,5.124909,2.0,8896.165,145529.0,Yambio,2017-10-01,14,2.21,1.5185976678187852e-05,0.00024842165135201516,0.13509695421531104,9.62007572373891e-05,0.001573711818519553,0.8558178095087577
Yambio,2018-02-01,28.54729,5.124909,3.0,8896.165,116204.0,Yambio,2018-02-01,11,1.27,1.0929055798423463e-05,0.00014275814353713088,0.09722668367698187,9.46611132146914e-05,0.0012364878574082203,0.8421208822415753
Yambio,2018-06-01,28.54729,5.124909,3.0,8896.165,116204.0,Yambio,2018-06-01,1,0.0,0.0,0.0,0.0,8.605555746790128e-06,0.00011240798703711092,0.0765564438401432
Yambio,2018-10-01,28.54729,5.124909,2.0,8896.165,116204.0,Yambio,2018-10-01,23,0.22,1.8932222642938281e-06,2.4729757148164403e-05,0.016842417644831506,0.00019792778217617293,0.002585383701853551,1.7607982083232938
Yambio,2019-02-01,28.54729,5.124909,3.0,8896.165,86880.0,Yambio,2019-02-01,4,2.5,2.8775322283609577e-05,0.0002810199675927773,0.25599001496316764,4.604051565377532e-05,0.0004496319481484437,0.4095840239410682
Yambio,2019-06-01,28.54729,5.124909,3.0,8896.165,86880.0,Yambio,2019-06-01,3,0.67,7.711786372007366e-06,7.531335131486433e-05,0.06860532401012892,3.4530386740331494e-05,0.00033722396111133277,0.30718801795580114
Yambio,2019-10-01,28.54729,5.124909,2.0,8896.165,86880.0,Yambio,2019-10-01,6,2.67,3.073204419889503e-05,0.00030012932538908617,0.273397335980663,6.906077348066299e-05,0.0006744479222226655,0.6143760359116023
